address,name,chain
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,ethereum
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,ethereum
0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,ethereum
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,ethereum
0x6b175474e89094c44da98b954eedeac495271d0f,DAI,ethereum
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,Lido stETH,ethereum
0x514910771af9ca656af840dff83e8264ecf986ca,Chainlink,ethereum
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,ethereum
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,ethereum
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,Shiba Inu,ethereum
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,ethereum
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Maker,ethereum
0xc00e94cb662c3520282e6f5717214004a7f26888,Compound,ethereum
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,ethereum
0xd533a949740bb3306d119cc777fa900ba034cd52,CRV,ethereum
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ENS,ethereum
0x111111111117dc0aa78b770fa6a738034120c302,1INCH,ethereum
0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,ARB,ethereum
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,ethereum
0x5283d291dbcf85356a21ba090e6db59121208b44,Blur,ethereum
0x92d6c1e31e14520e676a687f0a93788b716beff5,dYdX,ethereum
0x3845badade8e6dff049820680d1f14bd3903a5d0,SAND,ethereum
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,MANA,ethereum
0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,GALA,ethereum
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,IMX,ethereum
0x767fe9edc9e0df98e07454847909b5e959d7ca0e,ILV,ethereum
0xc944e90c64b2c07662a292be6244bdf05cda44a7,GRT,ethereum
0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,ethereum
0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX,ethereum
0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,ethereum
0x4d224452801aced8b2f0aebe155379bb5d594381,APE,ethereum
